context_id,context_category,baseline_sample,difficulty
03566f53-8088-45c6-a35d-be289c5b823e,Rule System Application,0.0000,Hard
05488a19-3e76-4505-8433-4bd9d62eb34c,Rule System Application,0.7500,Easy
05a876e3-e191-44bf-935e-b193c8afae04,Procedural Task Execution,0.3333,Easy
0828ec51-04e1-4195-9e21-a575010e4fc7,Rule System Application,1.0000,Easy
0ae35e44-bf85-4e5f-814c-db6f7e50f9f1,Rule System Application,0.0000,Hard
0c434de6-5ec4-481a-82cf-5eed2e289e74,Rule System Application,0.4000,Medium
10da6e46-a6d6-4b41-8c05-40b664fd6b26,Procedural Task Execution,0.1429,Medium
1215ce08-d1c7-4c76-9d70-729ceeee2349,Domain Knowledge Reasoning,0.2857,Medium
132ac522-710f-4923-8582-7a89b7e39f1d,Domain Knowledge Reasoning,1.0000,Easy
15cda330-5ab3-4771-80fb-a0820e346cf4,Procedural Task Execution,0.1429,Medium
162bb573-f097-417b-9e6a-60f27b828c9e,Domain Knowledge Reasoning,0.8571,Easy
1aefe2de-9881-4036-b40b-c5f4d470d71e,Procedural Task Execution,0.0000,Hard
1be744b8-089e-4413-bcb9-f9c2be25cca1,Domain Knowledge Reasoning,0.1429,Medium
1d56e2bb-08bd-4779-85f9-1a63cb838944,Procedural Task Execution,0.1429,Medium
1fde454a-5535-4d9e-a1f1-5bc20d55e501,Empirical Discovery & Simulation,0.0000,Hard
200f1e49-d384-41fc-831f-b405e4907de8,Rule System Application,0.0000,Hard
20504455-fdc6-4cda-bf7c-25cfc5508fdc,Rule System Application,1.0000,Easy
20f69a53-6f2e-4373-b2ed-e0dc4551fc3f,Procedural Task Execution,0.4286,Easy
223176e0-b0d8-4e5f-92f3-c216d01c2ef0,Procedural Task Execution,0.8571,Easy
26186962-45cd-4561-84fd-b38dab0b1024,Procedural Task Execution,0.4286,Easy
27fecdda-a561-4c02-87bd-77135fb41599,Domain Knowledge Reasoning,0.1429,Medium
2e00dce7-8045-4107-8f50-bd5e601a3989,Procedural Task Execution,1.0000,Easy
2f8a38c4-71a1-4c4f-afe9-11062480273c,Procedural Task Execution,0.1429,Medium
30d12d0e-ad81-4076-a940-deb2e4ef2dab,Domain Knowledge Reasoning,0.1429,Medium
344b5047-6223-43ee-886d-030d3f5746bf,Procedural Task Execution,0.0000,Hard
35e9a8ef-db86-41c9-abb3-1d5b2f7483b0,Procedural Task Execution,0.1111,Medium
3717e389-b13f-4556-9cfb-27891d839aa8,Procedural Task Execution,0.0000,Hard
37447144-e05f-4d80-9d26-d15e45797a42,Domain Knowledge Reasoning,0.4286,Easy
3790a892-26a8-49c9-a830-0898b34962d6,Empirical Discovery & Simulation,0.0000,Medium
3d63a777-33d8-42ab-beec-59fdaa6c15e4,Rule System Application,0.6667,Easy
3dd47726-4769-4c33-8d80-3c8c5c830599,Procedural Task Execution,0.3750,Easy
3e42f2d8-c64b-4058-a91b-db84a923e94a,Domain Knowledge Reasoning,0.2857,Medium
3fb5ca96-05ab-4f00-be90-05d0b7205da9,Procedural Task Execution,0.0000,Hard
44713fa6-00e6-42dc-9793-f6c428d241ed,Domain Knowledge Reasoning,0.0000,Hard
44b2afa2-1213-4cf4-9c2c-d4586df0ff87,Domain Knowledge Reasoning,0.1429,Medium
46cb9ae9-b854-4e11-98c8-a98699980818,Rule System Application,0.0000,Hard
486692b3-9889-4882-a409-caf93bd59b0a,Domain Knowledge Reasoning,0.0000,Hard
4883f336-a3a8-49af-96f7-997add8ff31c,Domain Knowledge Reasoning,0.1429,Medium
